employee_matricula,category,text
1000,Desempenho,"Excelente gestão da equipe de RH durante o ciclo de avaliação de desempenho."
1001,Promoção,"Promovida a Analista de RH Sênior em reconhecimento à sua performance."
1002,Capacitação,"Concluiu com sucesso o treinamento de novas políticas de RH."
1003,Desempenho,"Liderou a reestruturação dos times de desenvolvimento, aumentando a produtividade em 15%."
1004,Reconhecimento,"Parabéns pela implementação bem-sucedida da nova arquitetura de microsserviços."
1005,Aumento Salarial,"Aumento salarial por mérito concedido em 01/08/2025."
1006,Desempenho,"Desenvolveu dashboards em PowerBI que otimizaram a visualização de KPIs para a diretoria."
1007,Férias,"Período de férias de 20 dias agendado a partir de 15/10/2025."
1008,Promoção,"Promovido a Líder Técnico Frontend."
1009,Desempenho,"Campanha de lançamento do novo app superou as metas de aquisição de usuários em 25%."
1010,Capacitação,"Certificação em Design Thinking concluída."
1011,Férias,"Férias agendadas para a primeira quinzena de novembro."
1012,Desempenho,"Excelente performance na otimização de campanhas de Google Ads."
1013,Aumento Salarial,"Reajuste salarial de acordo com a convenção coletiva."
1014,Desempenho,"Definiu o roadmap estratégico para os próximos 2 trimestres com clareza e precisão."
1015,Bonificação,"Bônus por performance no lançamento da versão 2.0 do produto principal."
1016,Desempenho,"Liderou a equipe na entrega do projeto Ágora antes do prazo."
1017,Capacitação,"Concluiu curso de especialização em Arquitetura Limpa (Clean Architecture)."
1018,Reconhecimento,"Apresentou o plano estratégico de tecnologia para o conselho com grande sucesso."
1019,Desempenho,"Otimizou o fluxo de caixa da empresa, resultando em uma economia de 8% nos custos operacionais."
1020,Promoção,"Promovida a Analista Financeiro Sênior."
1021,Férias,"Agendou 10 dias de férias para o período do recesso de final de ano."
1022,Desempenho,"Implementou a nova estratégia de vendas B2B com sucesso."
1023,Aumento Salarial,"Aumento por mérito e performance trimestral."
1024,Desempenho,"Implementou com sucesso o pipeline de CI/CD para o novo ambiente de produção."
1025,Capacitação,"Obteve a certificação em LGPD (Lei Geral de Proteção de Dados)."
1026,Alocação,"Movido para o time de resposta a incidentes de segurança."
1027,Férias,"Período de férias agendado para 02/01/2026."
1028,Desempenho,"Excelente trabalho na automação da infraestrutura com Terraform."
1029,Promoção,"Promovido a Desenvolvedor Backend Pleno."
1030,Reconhecimento,"Elogiado pela qualidade e clareza do código no novo módulo de pagamentos."
1031,Aumento Salarial,"Reajuste salarial de 9% por performance."
1032,Desempenho,"Reduziu o tempo de resposta dos tickets de suporte em 30%."
1033,Capacitação,"Concluiu o treinamento de Figma e prototipação avançada."
1034,Férias,"Solicitou antecipação de 15 dias de férias para dezembro."
1035,Desempenho,"Ótimos resultados na criação de conteúdo para a campanha de final de ano."
1036,Bonificação,"Bônus pela criação de material para um cliente importante."
1037,Desempenho,"Gerenciou o backlog do produto com grande eficiência e alinhamento com os stakeholders."
1038,Promoção,"Promovido a Analista de QA Pleno."
1039,Capacitação,"Certificação CTFL (Certified Tester Foundation Level) obtida."
1040,Férias,"Férias agendadas para a segunda quinzena de janeiro de 2026."
1041,Desempenho,"Atingiu meta de vendas trimestral com 120% de resultado."
1042,Aumento Salarial,"Aumento salarial de 7% por mérito."
1043,Desempenho,"Refatoração da interface do usuário resultou em feedback muito positivo dos clientes."
1045,Bonificação,"Bônus por implementação de sistema de monitoramento com Grafana e Prometheus."
1046,Férias,"Período de férias aprovado para 05/12/2025."
1047,Desempenho,"Aumentou em 50% o engajamento nas redes sociais da empresa."
1048,Promoção,"Promovida a Analista de RH Júnior."
1049,Capacitação,"Concluiu treinamento de SAP Módulo FI."
1050,Desempenho,"Excelente trabalho no fechamento contábil do último semestre."
1051,Aumento Salarial,"Reajuste por performance de 12%."
1052,Férias,"Agendou férias para a última semana de novembro."
1053,Desempenho,"Contribuição essencial na definição da arquitetura do novo data warehouse."
1054,Capacitação,"Concluiu o programa de integração de Jovem Aprendiz."
